Date,Unemployment AUS,Unemployment NSW,Unemployment VIC,Unemployment QLD,Unemployment SA,Unemployment WA,Unemployment TAS,Unemployment NT,Unemployment ACT,Month,Year,Quarter
2018-01-01,"53,592.97","67,384.23","66,177.44","780,055.83","228,292.64","208,851.99","170,152.97","55,730.41","85,948.36",1,2018,1
2018-02-01,"54,261.84","68,710.08","65,784.48","805,671.79","218,890.28","208,340.49","187,663.17","61,227.55","95,595.09",2,2018,1
2018-03-01,"55,195.62","69,417.19","65,454.18","777,802.03","220,568.60","191,456.40","174,226.68","51,942.05","107,453.52",3,2018,1
2018-04-01,"55,281.36","68,862.49","64,305.63","740,584.13","205,517.92","182,909.05","175,407.14","52,694.40","93,341.99",4,2018,2
2018-05-01,"54,244.77","70,567.72","64,892.46","702,170.97","202,435.49","168,997.89","164,371.54","50,357.67","86,059.67",5,2018,2
2018-06-01,"54,778.91","71,111.00","65,578.05","687,891.22","191,871.79","182,298.03","156,130.03","47,240.37","81,327.26",6,2018,2
2018-07-01,"53,801.12","70,990.29","64,667.03","689,922.43","200,993.08","168,120.61","156,550.97","49,663.72","83,190.17",7,2018,3
2018-08-01,"53,883.85","67,683.07","63,087.31","698,353.14","196,978.78","164,798.59","166,959.19","48,550.62","90,466.07",8,2018,3
2018-09-01,"53,058.12","67,171.22","63,698.86","648,354.24","179,681.78","155,070.70","153,384.07","46,385.09","85,138.11",9,2018,3
2018-10-01,"53,676.72","67,587.72","62,669.78","634,151.75","181,349.42","146,533.83","153,148.40","47,026.26","77,554.75",10,2018,4
2018-11-01,"53,398.82","68,213.72","65,295.89","634,775.90","171,093.69","151,770.45","150,386.78","46,007.59","87,654.81",11,2018,4
2018-12-01,"52,815.61","68,293.05","65,110.54","648,774.21","179,589.90","143,382.13","151,739.52","52,603.37","90,214.10",12,2018,4
2019-01-01,"51,724.40","67,152.07","64,000.95","726,908.81","179,984.81","175,586.86","169,795.97","60,551.28","105,938.46",1,2019,1
2019-02-01,"52,574.87","66,488.51","64,034.75","727,804.77","199,441.44","182,764.77","163,019.20","55,754.25","92,569.27",2,2019,1
2019-03-01,"52,324.65","65,751.84","64,579.73","731,765.07","197,294.68","173,793.21","178,385.62","56,605.74","92,883.48",3,2019,1
2019-04-01,"52,456.26","64,973.15","63,359.31","713,955.75","194,940.27","175,955.94","162,339.79","57,086.91","87,842.95",4,2019,2
2019-05-01,"52,896.14","65,414.86","63,519.81","694,322.36","197,289.30","158,013.95","169,565.96","51,531.48","85,616.80",5,2019,2
2019-06-01,"52,731.28","66,399.02","65,185.16","691,955.33","195,581.01","162,013.74","176,325.82","52,973.17","76,119.76",6,2019,2
2019-07-01,"52,664.20","65,004.37","64,067.85","702,613.80","190,380.09","168,981.03","167,155.01","62,748.11","81,557.32",7,2019,3
2019-08-01,"52,919.81","65,843.60","64,214.15","714,384.19","185,496.91","176,954.37","169,804.31","65,773.09","82,873.46",8,2019,3
2019-09-01,"53,612.09","67,987.19","65,429.97","691,793.75","188,475.07","164,724.51","171,083.43","54,109.37","80,983.11",9,2019,3
2019-10-01,"53,151.80","68,959.74","64,334.48","685,821.06","200,642.24","160,470.83","163,508.67","53,587.45","78,601.32",10,2019,4
2019-11-01,"53,702.47","68,787.98","66,090.42","653,741.70","185,466.14","153,537.30","151,621.25","55,017.86","78,757.07",11,2019,4
2019-12-01,"54,702.11","69,378.11","65,671.24","667,014.73","190,261.70","173,722.49","142,868.91","55,260.56","76,513.89",12,2019,4
2020-01-01,"53,495.59","66,025.64","64,002.97","775,109.15","205,235.84","211,372.44","180,840.03","53,901.08","92,137.59",1,2020,1
2020-02-01,"54,983.95","67,807.80","66,924.92","761,145.38","215,106.62","209,101.48","167,169.88","56,658.97","82,077.39",2,2020,1
2020-03-01,"54,118.15","69,908.76","66,721.67","765,560.50","222,911.48","198,528.70","167,527.11","60,103.68","86,612.44",3,2020,1
2020-04-01,"52,610.52","67,413.90","64,128.62","850,478.32","262,459.75","215,318.76","188,117.62","63,938.14","86,082.93",4,2020,2
2020-05-01,"50,024.55","66,540.90","62,958.42","904,686.93","260,966.02","230,964.36","201,738.87","68,217.55","108,416.15",5,2020,2
2020-06-01,"51,022.35","65,855.67","65,569.16","966,530.80","284,237.49","250,830.37","207,232.45","75,763.85","113,304.50",6,2020,2
2020-07-01,"52,404.11","65,325.79","65,244.61","994,679.90","305,954.55","236,335.09","228,889.50","71,573.03","114,182.69",7,2020,3
2020-08-01,"53,131.11","68,497.70","67,552.14","921,887.18","279,952.39","245,954.62","193,986.24","68,846.81","99,515.48",8,2020,3
2020-09-01,"52,257.32","65,247.71","67,004.70","909,432.00","296,218.72","223,045.10","198,882.56","59,646.95","95,413.63",9,2020,3
2020-10-01,"51,745.04","67,278.60","69,107.96","907,488.36","274,205.04","241,367.32","200,506.39","61,178.78","92,583.64",10,2020,4
2020-11-01,"52,875.28","64,933.10","68,687.56","875,185.99","261,476.02","241,519.90","188,087.72","55,709.94","90,212.36",11,2020,4
2020-12-01,"54,022.05","65,676.19","68,783.08","873,269.21","270,279.74","229,291.29","192,285.90","56,401.31","90,252.39",12,2020,4
2021-01-01,"52,818.87","64,336.33","65,322.98","938,048.57","275,415.90","250,009.57","208,014.57","67,677.61","99,970.95",1,2021,1
2021-02-01,"54,279.96","65,499.35","66,038.90","874,475.80","263,557.44","227,006.91","187,038.47","66,825.75","94,515.78",2,2021,1
2021-03-01,"54,029.55","66,233.55","64,977.12","832,736.72","250,306.27","234,158.35","176,125.33","60,251.48","77,921.87",3,2021,1
